City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1610999225,62,-53.15,-70.9167,55.4,18.41
1,Hermanus,0,ZA,1610999227,78,-34.4187,19.2345,69.01,1.01
2,Mahon,0,ES,1610999387,81,39.8885,4.2658,44.6,4.61
3,Antofagasta,20,CL,1610999185,64,-23.65,-70.4,73.99,16.11
4,Kavieng,58,PG,1610999273,73,-2.5744,150.7967,82.83,12.84
5,Abay,0,KZ,1610999391,84,49.6311,72.8539,-4.0,8.95
6,Carnarvon,0,AU,1610999012,94,-24.8667,113.6333,80.6,6.91
7,Orbetello,0,IT,1610999394,100,42.4408,11.2196,37.4,6.91
8,Pierre,90,US,1610999396,80,44.3683,-100.351,33.8,12.66
9,Korla,79,CN,1610999397,82,41.7597,86.1469,16.88,2.13
10,Rabo de Peixe,20,PT,1610999398,88,37.8,-25.5833,61.0,14.97
11,Hobart,40,AU,1610998971,50,-42.8794,147.3294,50.0,17.27
12,Mataura,93,NZ,1610999269,91,-46.1927,168.8643,50.0,1.63
13,Kalmunai,79,LK,1610998922,88,7.4167,81.8167,74.62,9.6
14,Hilo,90,US,1610999314,64,19.7297,-155.09,75.2,3.44
15,Vaini,20,TO,1610999302,83,-21.2,-175.2,82.4,9.22
16,Cape Town,0,ZA,1610999306,77,-33.9258,18.4232,70.0,11.5
17,Ribeira Grande,40,PT,1610999320,88,38.5167,-28.7,62.6,21.85
18,Vangaindrano,100,MG,1610999407,92,-23.35,47.6,76.78,2.28
19,Bulgan,0,MN,1610999408,81,48.8125,103.5347,8.71,3.33
20,Almaznyy,0,RU,1610999410,85,48.0448,40.045,6.8,4.47
21,Coquimbo,20,CL,1610998944,72,-29.9533,-71.3436,64.4,13.8
22,Ostrovnoy,80,RU,1610998863,96,68.0531,39.5131,20.55,11.54
23,Jamestown,90,US,1610999057,93,42.097,-79.2353,30.99,11.5
24,Ucluelet,20,CA,1610999414,100,48.9329,-125.5528,45.0,4.61
25,Lagoa,100,PT,1610998944,84,39.05,-27.9833,61.61,25.95
26,Cabo San Lucas,20,MX,1610999327,50,22.8909,-109.9124,79.0,5.75
27,Atuona,52,PF,1610999251,74,-9.8,-139.0333,78.6,19.19
28,Usinsk,44,RU,1610999419,86,65.9939,57.5281,-27.65,7.85
29,Chokurdakh,0,RU,1610999007,85,70.6333,147.9167,-32.49,2.26
30,Butaritari,68,KI,1610999057,81,3.0707,172.7902,80.38,17.94
31,Ushuaia,75,AR,1610999229,66,-54.8,-68.3,51.8,12.66
32,Goianira,40,BR,1610999424,69,-16.4961,-49.4264,80.6,8.05
33,Kieta,100,PG,1610998832,77,-6.2167,155.6333,79.43,1.1
34,Khovd,49,MN,1610999008,76,48.0056,91.6419,3.0,1.48
35,Waverly,90,US,1610999427,86,42.7392,-84.6208,32.0,11.5
36,Coripata,75,BO,1610999428,81,-16.3,-67.6,46.4,5.75
37,Rikitea,51,PF,1610999233,74,-23.1203,-134.9692,78.66,13.82
38,Constitución,0,CL,1610999305,49,-35.3333,-72.4167,70.16,8.86
39,Arraial do Cabo,0,BR,1610999249,54,-22.9661,-42.0278,87.8,21.85
40,Karratha,40,AU,1610999017,47,-20.7377,116.8463,89.94,6.62
41,Barrow,90,US,1610999434,78,71.2906,-156.7887,-2.2,19.57
42,Gijang,0,KR,1610999435,50,35.2442,129.2139,24.8,5.75
43,Geraldton,90,AU,1610999284,65,-28.7667,114.6,78.8,4.61
44,Busselton,0,AU,1610999047,66,-33.65,115.3333,64.99,7.23
45,Rawson,0,AR,1610999265,47,-43.3002,-65.1023,72.12,13.31
46,Sajanan,40,TN,1610999440,71,37.0573,9.2426,51.8,6.91
47,George Town,20,MY,1610999352,78,5.4112,100.3354,78.8,6.89
48,Bratsk,75,RU,1610999443,92,56.1325,101.6142,15.8,4.47
49,Puerto Ayora,75,EC,1610999272,100,-0.7393,-90.3518,80.01,9.22
50,Zacualpan,1,MX,1610999445,28,21.25,-105.1667,82.4,6.49
51,Saposoa,40,PE,1610999446,49,-6.934,-76.7716,95.0,5.75
52,New Norfolk,61,AU,1610999266,55,-42.7826,147.0587,50.0,1.99
53,Tiksi,100,RU,1610998851,86,71.6872,128.8694,-27.51,6.62
54,Tasiilaq,45,GL,1610999342,53,65.6145,-37.6368,19.4,3.44
55,Tessalit,11,ML,1610999450,21,20.1986,1.0114,68.88,9.13
56,Bredasdorp,2,ZA,1610999292,77,-34.5322,20.0403,68.0,9.22
57,Bubaque,3,GW,1610998834,58,11.2833,-15.8333,79.74,11.25
58,Katsuura,20,JP,1610998983,46,35.1333,140.3,48.2,27.63
59,Albany,100,US,1610999013,69,42.6001,-73.9662,37.0,10.67
60,Dārāb,0,IR,1610999456,44,28.7519,54.5444,50.11,1.39
61,Paragominas,70,BR,1610999458,76,-2.9667,-47.4833,79.7,2.13
62,Fontem,19,CM,1610999459,61,5.4685,9.8818,72.23,0.45
63,Hervey Bay,72,AU,1610999460,91,-25.2986,152.8535,70.0,11.01
64,Mnogovershinnyy,42,RU,1610999344,82,53.9353,139.9242,-28.26,6.31
65,Clyde River,75,CA,1610999374,78,70.4692,-68.5914,1.4,2.3
66,Yellowknife,90,CA,1610999224,85,62.456,-114.3525,5.0,4.61
67,Souillac,75,MU,1610999290,100,-20.5167,57.5167,78.8,10.36
68,Port Hedland,90,AU,1610999031,43,-20.3167,118.5667,89.6,13.8
69,São Filipe,100,CV,1610998775,63,14.8961,-24.4956,73.81,8.12
70,Nikolskoye,0,RU,1610999468,93,59.7035,30.7861,21.2,2.24
71,Kaitangata,95,NZ,1610999469,71,-46.2817,169.8464,55.0,10.0
72,Kapaa,90,US,1610999250,77,22.0752,-159.319,68.0,23.02
73,Tura,0,IN,1610999472,64,25.5198,90.2201,59.2,1.86
74,Sarangani,100,PH,1610999473,80,5.4033,125.4636,80.98,10.09
75,Mayya,90,RU,1610999474,50,61.7333,130.2811,-61.6,1.95
76,Bambous Virieux,75,MU,1610998804,100,-20.3428,57.7575,80.01,10.36
77,Faanui,8,PF,1610999324,75,-16.4833,-151.75,81.16,16.06
78,Esperance,0,AU,1610999104,77,-33.8667,121.9,60.8,16.11
79,Saint-Philippe,20,RE,1610998982,78,-21.3585,55.7679,80.6,2.3
80,Wanaka,99,NZ,1610999480,78,-44.7,169.15,50.0,1.01
81,São José da Coroa Grande,9,BR,1610999481,72,-8.8978,-35.1478,80.33,9.4
82,Fortuna,1,US,1610999260,71,40.5982,-124.1573,59.0,6.35
83,Los Llanos de Aridane,75,ES,1610999156,68,28.6585,-17.9182,64.4,6.91
84,Kautokeino,9,NO,1610999485,93,69.0125,23.0412,11.41,2.53
85,Te Anau,100,NZ,1610999113,88,-45.4167,167.7167,49.17,5.73
86,Thompson,90,CA,1610999041,77,55.7435,-97.8558,-5.8,2.3
87,Voi,100,KE,1610999488,74,-3.3945,38.563,75.78,4.18
88,Upernavik,76,GL,1610999489,93,72.7868,-56.1549,14.36,7.76
89,Morros,58,BR,1610999490,50,-9.4467,-46.3003,86.13,5.28
90,Bariloche,0,AR,1610999264,24,-41.1456,-71.3082,86.0,24.16
91,Tadine,100,NC,1610999493,86,-21.55,167.8833,79.68,4.99
92,Noormarkku,90,FI,1610999494,93,61.5927,21.8685,30.2,6.91
93,Basoko,29,CD,1610999495,70,1.2391,23.616,77.95,4.36
94,Faya,0,SA,1610999497,88,18.3851,42.4509,59.0,2.86
95,Mapastepec,21,MX,1610999498,44,15.4333,-92.9,88.59,8.19
96,Baharly,0,TM,1610999499,46,38.4362,57.4316,51.12,4.81
97,Rio Grande,40,BR,1610998918,47,-32.035,-52.0986,80.6,9.22
98,Port Macquarie,40,AU,1610999501,100,-31.4333,152.9167,66.2,5.75
99,Hasaki,20,JP,1610999085,69,35.7333,140.8333,37.0,3.44
100,Mehamn,75,NO,1610999503,69,71.0357,27.8492,35.6,24.16
101,Sechura,100,PE,1610999505,60,-5.5569,-80.8222,77.81,12.06
102,Qaanaaq,100,GL,1610999294,82,77.484,-69.3632,3.61,5.88
103,Hīrna,14,ET,1610999507,51,9.2167,41.1,57.15,3.09
104,Bethel,54,US,1610999039,60,41.3712,-73.414,42.01,10.51
105,Glückstadt,100,DE,1610999509,91,53.7833,9.4167,39.99,5.01
106,Abalak,93,RU,1610999510,91,58.1286,68.5944,-8.16,7.2
107,Garoowe,70,SO,1610999511,54,8.4054,48.4845,72.68,11.39
108,Hukuntsi,87,BW,1610999513,41,-24.0,21.75,84.02,8.93
109,Koslan,84,RU,1610999514,90,63.4564,48.8989,-8.73,5.82
110,Shemursha,100,RU,1610999515,91,54.8866,47.5189,-5.85,2.91
111,Astoria,1,US,1610999516,87,46.1879,-123.8313,48.0,3.44
112,Bengkulu,82,ID,1610999016,87,-3.8004,102.2655,74.07,5.37
113,Wau,0,SS,1610999519,20,7.7029,27.9953,78.71,4.79
114,Cayenne,90,GF,1610999520,70,4.9333,-52.3333,84.2,13.8
115,Bluff,100,NZ,1610999252,91,-46.6,168.3333,50.0,11.68
116,San Policarpo,100,PH,1610999522,93,12.1791,125.5072,76.57,17.9
117,Launceston,62,AU,1610998995,57,-41.45,147.1667,46.99,1.14
118,San Miguel de Tucumán,20,AR,1610999525,42,-26.8241,-65.2226,84.2,10.36
119,Saint Paul Harbor,90,US,1610999345,93,57.79,-152.4072,41.0,3.44
120,Avarua,75,CK,1610999322,70,-21.2078,-159.775,86.0,6.91
121,Kupang,100,ID,1610999528,83,-10.1667,123.5833,79.25,7.94
122,East London,75,ZA,1610999363,77,-33.0153,27.9116,70.9,20.11
123,Mushie,94,CD,1610999531,91,-3.0167,16.9,73.58,3.33
124,Dingcheng,0,CN,1610999532,67,32.1272,115.0394,39.96,4.65
125,Klaksvík,75,FO,1610999069,93,62.2266,-6.589,33.8,6.96
126,Woodland,1,US,1610999534,12,38.6785,-121.7733,69.8,20.71
127,Distrikt Brokopondo,100,SR,1610999535,78,4.75,-55.1667,81.7,4.23
128,Hay River,90,CA,1610999536,92,60.8156,-115.7999,8.6,4.45
129,Atbasar,3,KZ,1610998888,89,51.8,68.3333,-4.67,6.35
130,Sintea Mare,90,RO,1610999539,86,46.5167,21.6,23.0,6.91
131,Hithadhoo,0,MV,1610999540,65,-0.6,73.0833,80.56,3.42
132,Atar,100,MR,1610999354,23,20.5169,-13.0499,64.62,12.62
133,Zhigansk,51,RU,1610999542,75,66.7697,123.3711,-50.37,5.99
134,Mount Gambier,90,AU,1610999109,76,-37.8333,140.7667,55.4,6.91
135,San Ignacio,90,BZ,1610999545,78,17.1561,-89.0714,71.6,4.61
136,Port-Cartier,99,CA,1610999546,69,50.0334,-66.8654,28.4,10.36
137,Lebu,0,CL,1610999547,74,-37.6167,-73.65,63.1,23.44
138,Beloha,100,MG,1610999046,91,-25.1667,45.05,75.78,4.25
139,El Alto,20,PE,1610999549,54,-4.2714,-81.2147,86.0,10.36
140,Zirándaro de los Chávez,48,MX,1610999551,29,18.45,-100.9833,96.6,1.12
141,Northam,100,GB,1610999552,93,51.0333,-4.2167,51.01,14.0
142,Mossamedes,85,AO,1610999553,75,-15.1961,12.1522,73.26,10.96
143,Garbagnate Milanese,84,IT,1610999554,90,45.5765,9.0717,33.01,1.1
144,Goya,0,AR,1610999555,19,-29.14,-59.2626,86.47,5.59
145,Namatanai,81,PG,1610999556,78,-3.6667,152.4333,79.5,5.59
146,Fairbanks,75,US,1610999292,51,64.8378,-147.7164,37.4,11.5
147,Smithers,90,CA,1610999559,93,54.7804,-127.1743,30.2,3.44
148,Tianpeng,0,CN,1610999560,1,30.9866,103.9393,41.0,2.75
149,Isangel,75,VU,1610999561,89,-19.55,169.2667,78.8,2.91
150,Titlāgarh,6,IN,1610999562,66,20.3,83.15,60.73,1.86
151,Port Lincoln,44,AU,1610999563,83,-34.7333,135.8667,58.3,11.81
152,Khatanga,0,RU,1610999288,81,71.9667,102.5,-31.97,14.23
153,Nahrin,73,AF,1610999566,48,36.0649,69.1334,46.67,8.21
154,Nizhniy Kuranakh,60,RU,1610999567,73,58.8353,125.4869,-41.31,1.23
155,São Raimundo Nonato,81,BR,1610999461,40,-9.0153,-42.6994,88.41,5.41
156,Presidencia Roque Sáenz Peña,0,AR,1610999570,25,-26.7852,-60.4388,87.01,4.0
157,Petropavlovsk-Kamchatskiy,100,RU,1610999571,46,53.0452,158.6483,24.8,20.13
158,Vanimo,98,PG,1610998976,82,-2.6741,141.3028,77.34,3.6
159,Huarmey,41,PE,1610999573,69,-10.0681,-78.1522,75.63,11.63
160,Ponta do Sol,67,PT,1610999197,62,32.6667,-17.1,57.0,1.99
161,Pevek,93,RU,1610999357,85,69.7008,170.3133,-31.68,5.3
162,Richards Bay,98,ZA,1610999576,83,-28.783,32.0377,72.41,4.56
163,Green Valley,0,US,1610999578,8,31.8543,-110.9937,75.0,13.78
164,Santa Cruz de Barahona,40,DO,1610999579,79,18.2085,-71.1008,87.8,11.5
165,Talnakh,100,RU,1610999580,89,69.4865,88.3972,-9.62,3.06
166,Progreso,40,MX,1610999582,44,21.2833,-89.6667,78.8,6.91
167,Nador,0,MA,1610999583,76,35.174,-2.9287,53.6,1.9
168,Cidreira,11,BR,1610999321,68,-30.1811,-50.2056,74.28,12.15
169,Ilulissat,40,GL,1610999318,57,69.2167,-51.1,12.2,1.14
170,Udarnyy,100,RU,1610999586,92,54.3409,42.8611,-1.53,3.09
171,Aksarka,100,RU,1610999128,85,66.5606,67.7975,-19.77,6.49
172,Quelimane,40,MZ,1610999589,89,-17.8786,36.8883,82.4,4.36
173,Vallenar,0,CL,1610999590,27,-28.5708,-70.7581,84.45,10.36
174,Port Keats,100,AU,1610999591,72,-14.25,129.55,79.86,6.26
175,Arrondissement de Saint-Denis,20,FR,1610999592,75,48.9167,2.3333,42.8,11.5
176,Pangnirtung,90,CA,1610999594,62,66.1451,-65.7125,12.2,13.8
177,Tuktoyaktuk,20,CA,1610999299,77,69.4541,-133.0374,-4.0,10.36
178,Ures,0,MX,1610999596,19,29.4333,-110.4,81.0,5.99
179,Airai,100,TL,1610999234,100,-8.9266,125.4092,60.87,1.57
180,Saint Anthony,90,US,1610999598,63,45.0205,-93.218,23.0,9.22
181,Mahébourg,75,MU,1610999300,100,-20.4081,57.7,78.8,10.36
182,Zhangjiakou,0,CN,1610999600,86,40.81,114.8794,12.81,7.74
183,Tegh,1,AM,1610999601,84,39.5579,46.4772,33.53,3.38
184,Narsaq,75,GL,1610999274,57,60.9167,-46.05,17.6,3.44
185,Watertown,75,US,1610999604,45,42.3709,-71.1828,46.0,16.11
186,Dikson,3,RU,1610999605,83,73.5069,80.5464,-19.21,19.24
187,Sur,0,OM,1610999606,64,22.5667,59.5289,67.98,3.42
188,Lázaro Cárdenas,8,MX,1610999607,54,17.9583,-102.2,84.18,8.68
189,Belmonte,20,BR,1610999608,70,-15.8631,-38.8828,84.2,4.61
190,Riyadh,0,SA,1610999556,27,24.6877,46.7219,66.2,6.91
191,Obeliai,49,LT,1610999611,93,55.9667,25.15,7.45,6.8
192,Comodoro Rivadavia,75,AR,1610999612,38,-45.8667,-67.5,75.2,16.11
193,Mahibadhoo,14,MV,1610999613,77,3.7833,72.9667,81.66,9.28
194,Mar del Plata,0,AR,1610999455,35,-38.0023,-57.5575,86.0,14.97
195,Tabory,0,RU,1610999615,90,58.5198,64.5495,-9.38,5.23
196,Saldanha,0,ZA,1610999617,77,-33.0117,17.9442,66.2,10.36
197,Waipawa,20,NZ,1610999618,68,-41.4122,175.5153,64.4,20.71
198,Makakilo City,20,US,1610999620,83,21.3469,-158.0858,71.6,8.05
199,Kargasok,93,RU,1610999621,89,59.0556,80.8572,-14.03,9.17
200,Raudeberg,49,NO,1610999622,69,61.9875,5.1352,41.0,15.03
201,Alofi,40,NU,1610999359,94,-19.0595,-169.9187,80.6,3.44
202,Hofn,75,IS,1610999186,65,64.2539,-15.2082,37.4,24.16
203,Krasnosel'kup,98,RU,1610999626,89,65.7,82.4667,-15.83,2.15
204,Lebanon,40,US,1610999627,43,36.2081,-86.2911,50.0,5.75
205,Muros,0,ES,1610999628,93,42.7762,-9.0603,48.0,5.01
206,Baykit,100,RU,1610999630,84,61.67,96.37,-16.19,3.13
207,Rangāpāra,84,IN,1610999631,56,26.8167,92.65,64.24,3.22
208,Amzya,100,RU,1610999632,89,56.2354,54.3868,-10.8,2.19
209,Saskylakh,100,RU,1610999633,83,71.9167,114.0833,-33.65,4.88
210,Port Alfred,75,ZA,1610999237,89,-33.5906,26.891,69.01,5.01
211,Tibati,49,CM,1610999636,20,6.4667,12.6333,74.39,7.16
212,Mayachnyy,100,RU,1610999637,94,52.6839,55.685,7.84,6.87
213,Westport,90,US,1610999618,45,41.1415,-73.3579,45.0,11.5
214,Terra Nova,92,BR,1610999639,50,-12.3667,-40.6667,80.53,5.68
215,Capiíbary,81,PY,1610999640,62,-24.8,-56.0333,80.98,6.11
216,Olinda,20,BR,1610999642,69,-8.0089,-34.8553,78.8,10.36
217,Bom Jesus,100,BR,1610999643,42,-9.0744,-44.3586,89.13,3.96
218,Raja,35,SS,1610999644,21,8.4596,25.678,73.18,5.23
219,Half Moon Bay,1,US,1610999645,17,37.4636,-122.4286,71.6,14.97
220,Saint-François,90,FR,1610999646,81,46.4154,3.9054,37.99,4.61
221,Almenara,1,BR,1610999647,46,-16.1836,-40.6944,85.64,4.94
222,Baruun-Urt,4,MN,1610999106,89,46.6806,113.2792,-5.6,9.62
223,Oranjestad,75,AW,1610999622,94,12.524,-70.027,77.0,10.36
224,Preobrazheniye,0,RU,1610999651,79,42.9019,133.9064,-2.92,12.19
225,Char Bhadrāsan,20,BD,1610999652,82,23.3167,90.2167,62.6,4.63
226,Kushiro,100,JP,1610999158,97,42.975,144.3747,20.93,17.74
227,Panjāb,98,AF,1610999655,85,34.388,67.0233,14.95,1.3
228,Longyearbyen,20,SJ,1610999565,68,78.2186,15.6401,19.4,24.16
229,Dromolaxia,75,CY,1610999657,87,34.8761,33.586,50.0,9.22
230,Martapura,90,ID,1610999658,100,-3.4167,114.85,73.4,2.3
231,Vágur,99,FO,1610999659,81,61.4732,-6.8119,40.35,12.26
232,Mount Isa,0,AU,1610999114,42,-20.7333,139.5,82.4,5.75
233,Yakovlevo,90,RU,1610999662,92,50.8603,36.4478,5.0,4.47
234,Murfreesboro,75,US,1610999663,35,35.8456,-86.3903,52.0,10.36
235,Severo-Kuril'sk,88,RU,1610999244,90,50.6789,156.125,18.79,33.24
236,Tamandaré,11,BR,1610999665,70,-8.7597,-35.1047,80.62,8.34
237,Dunedin,75,NZ,1610999435,83,-45.8742,170.5036,57.0,5.99
238,Mareeba,100,AU,1610999100,83,-17.0,145.4333,77.0,2.3
239,Tuy Hoa,100,VN,1610999669,88,13.0833,109.3,64.98,11.36
240,Bundaberg,86,AU,1610999670,94,-24.85,152.35,73.0,6.91
241,Port Hardy,90,CA,1610999671,93,50.6996,-127.4199,42.8,2.53
242,Najrān,0,SA,1610999163,31,17.4924,44.1277,62.6,1.36
243,Marawi,100,PH,1610999361,93,7.9986,124.2928,73.99,5.01
244,Haines Junction,100,CA,1610999675,86,60.7522,-137.5108,30.2,8.05
245,Saint George,1,US,1610999149,22,37.1041,-113.5841,57.99,4.61
246,Khoy,0,IR,1610999677,71,38.5504,44.9535,37.09,8.52
247,Kobryn,59,BY,1610999678,92,52.2138,24.3564,3.34,4.14
248,San Andrés,20,CO,1610999679,70,12.5847,-81.7006,84.2,13.8
249,Taveta,75,KE,1610999680,83,-3.3963,37.6736,71.6,7.14
250,Latung,100,PH,1610999682,80,5.5,120.8833,80.24,9.04
251,Dudinka,100,RU,1610999683,89,69.4058,86.1778,-13.88,9.04
252,Poyarkovo,0,RU,1610999684,80,49.6,128.6833,-24.39,6.38
253,Iberia,1,US,1610999685,29,29.9502,-91.7507,62.6,6.91
254,Oranjemund,27,NA,1610999686,88,-28.55,16.4333,66.52,9.17
255,Pleszew,99,PL,1610999688,95,51.8964,17.7855,26.01,6.51
256,Asău,75,RO,1610998909,85,46.4333,26.4,5.0,5.75
257,Port Elizabeth,40,ZA,1610999690,88,-33.918,25.5701,68.0,16.11
258,Miragoâne,99,HT,1610999691,68,18.4423,-73.0876,79.77,5.21
259,Lavrentiya,100,RU,1610999146,88,65.5833,-171.0,-11.69,10.13
260,Santa Isabel Rio Negro,58,BR,1610999693,57,-0.4139,-65.0192,89.28,3.8
261,Lüderitz,0,NA,1610999695,84,-26.6481,15.1594,66.25,12.48
262,Torbay,90,CA,1610999696,81,47.6666,-52.7314,41.0,13.8
